report,technique_id,technique_name,score,flagged,instances,sections,best_evidence
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1003,OS Credential Dumping,80,0,1,Fake Zoom Ends in BlackSuit Ransomware > Credential Access,attempt to perform credential dumping
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1027.008,Stripped Payloads,80,0,2,Fake Zoom Ends in BlackSuit Ransomware > Detections > Yara,CobaltStrike_Resources_Command_Ps1_v2_5_to_v3_7_and_Resources_Compress_Ps1_v3_8_to_V4_x
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1027.010,Command Obfuscation,80,0,1,Fake Zoom Ends in BlackSuit Ransomware > Detections > Yara,CobaltStrike_Sleep_Decoder_Indicator
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1036,,80,0,0,,
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1036.012,Browser Fingerprint,80,0,1,Fake Zoom Ends in BlackSuit Ransomware > Command and Control,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1098,,80,0,0,,
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1098.007,Additional Local or Domain Groups,80,0,1,Fake Zoom Ends in BlackSuit Ransomware > Discovery,"net group ""domain admins"""
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1105,Ingress Tool Transfer,80,0,1,Fake Zoom Ends in BlackSuit Ransomware > Case Summary,using PsExec
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1482,Domain Trust Discovery,80,0,1,Fake Zoom Ends in BlackSuit Ransomware > Discovery,nltest /domain_trusts
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1546.016,Installer Packages,80,0,1,Fake Zoom Ends in BlackSuit Ransomware > Execution,trojanized installer
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1608.005,Link Target,80,0,1,Fake Zoom Ends in BlackSuit Ransomware > Initial Access,"loadlink(), which triggers"
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1027,,70,0,0,,
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1176,,60,0,0,,
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1176.001,Browser Extensions,60,0,1,Fake Zoom Ends in BlackSuit Ransomware > Collection,Here we used Dissect’s Edge browser plugin
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1547,,60,0,0,,
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1547.008,LSASS Driver,60,0,1,Fake Zoom Ends in BlackSuit Ransomware > Credential Access,dllhost.exe process initiated
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1027.007,Dynamic API Resolution,20,1,1,Fake Zoom Ends in BlackSuit Ransomware > Command and Control,Base64 URL-safe decode
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1113,Screen Capture,20,1,1,Fake Zoom Ends in BlackSuit Ransomware > Analysts,Fake Zoom
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1218,System Binary Proxy Execution,20,1,1,Fake Zoom Ends in BlackSuit Ransomware > Detections > Yara,Windows_Trojan_BruteRatel_5b12cbab
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1485,Data Destruction,20,1,1,Fake Zoom Ends in BlackSuit Ransomware,ends in BlackSuit ransomware
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1496,Resource Hijacking,20,1,1,Fake Zoom Ends in BlackSuit Ransomware > Command and Control,legitimate infrastructure
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1553,,20,0,0,,
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1553.004,Install Root Certificate,20,1,1,Fake Zoom Ends in BlackSuit Ransomware > Detections > Network,Observed ZeroSSL
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1557,,20,0,0,,
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1557.001,Name Resolution Poisoning and SMB Relay,20,1,1,Fake Zoom Ends in BlackSuit Ransomware > Timeline Indicators > Computed,relay.dll
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1563,,20,0,0,,
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1563.002,RDP Hijacking,20,1,1,Fake Zoom Ends in BlackSuit Ransomware > Lateral Movement,leaked their back end hostname
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1566,,20,0,0,,
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1566.002,Spearphishing Link,20,1,1,Fake Zoom Ends in BlackSuit Ransomware > Initial Access,cloned webpage
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1584,Compromise Infrastructure,20,1,1,Fake Zoom Ends in BlackSuit Ransomware > Command and Control,legitimate infrastructure for their malicious campaigns
dfir-2025-03-31-fake-zoom-ends-in-blacksuit-ransomware,T1674,Input Injection,20,1,1,Fake Zoom Ends in BlackSuit Ransomware > Timeline Indicators > Computed,artillery.mdb
