report,technique_id,technique_name,score,flagged,instances,sections,best_evidence
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1110.002,Password Cracking,100,0,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access,created a volume shadow copy backup containing the <mark>`ntds.dit`</mark>
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1136,,100,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1136.002,Domain Account,100,0,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Persistence,create domain accounts
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1204,,100,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1204.002,Malicious File,100,0,2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > MITRE ATT&CK,malicious file
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1218.007,Msiexec,100,0,2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Diamond Model Indicators > Computed | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Execution,the malicious MSI
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1219,Remote Access Tools,100,1,3,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Collection | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Command and Control,Users\Administrator\AppData\Local\mRemoteNG\
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1486,Data Encrypted for Impact,100,1,2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Detections > YARA | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Impact,initiated the Akira
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1489,Service Stop,100,0,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Impact > Swisscom,disable and terminate services
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1518.002,Backup Software Discovery,100,0,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Detections > Sigma,183e7ea8-ac4b-4c23-9aec-b3dac4e401ac : Net.EXE Execution
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1543,,100,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1543.003,Windows Service,100,0,2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > MITRE ATT&CK,Windows services
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1555,,100,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1555.003,Credentials from Web Browsers,100,0,2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Collection | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access,Users\Administrator\AppData\Local\Google\Chrome\User Data\
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1555.004,Windows Credential Manager,100,0,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Collection,Users\Administrator\AppData\Local\Microsoft\Credentials\
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1555.005,Password Managers,100,0,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Collection,Users\Administrator\AppData\Local\1Password\
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1563,,100,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1563.002,RDP Hijacking,100,0,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,established an RDP
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1574.001,DLL,100,0,6,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access > Remote LSASS Memory Dump | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Defense Evasion | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Diamond Model Indicators > Computed | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Execution,DLL
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1574.008,Path Interception by Search Order Hijacking,100,0,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Defense Evasion,hijack the search
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1583,,100,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1583.008,Malvertising,100,0,2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Initial Access,malvertising domains
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1593,Search Open Websites/Domains,100,0,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > MITRE ATT&CK,Bing Search
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1608,,100,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1608.001,Upload Malware,100,1,5,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Detections > YARA | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Execution | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Initial Access | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Key Takeaways,trojanized installer
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1608.006,SEO Poisoning,100,0,3,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Initial Access | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Key Takeaways,SEO poisoning
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1649,Steal or Forge Authentication Certificates,100,0,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Collection,Users\Administrator\AppData\Roaming\Microsoft\SystemCertificates\My\Certificates\
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1021,,92,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1003.001,LSASS Memory,90,0,3,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Case Summary | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access > Remote LSASS Memory Dump,This behavior is a high-confidence match for the lsassy
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1071,,90,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1071.002,File Transfer Protocols,90,0,2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Exfiltration,File Transfer Protocols
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1071.004,DNS,90,0,2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Detections > Sigma | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,query and export DNS zone data
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1119,Automated Collection,90,0,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Collection,automated scanning
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1518,,90,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1568,,90,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1568.002,Domain Generation Algorithms,90,0,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Command and Control,DGA-generated domains
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1572,Protocol Tunneling,90,0,3,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Case Summary | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Lateral Movement | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Persistence > Swisscom,reverse SSH tunnel
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1574.011,Services Registry Permissions Weakness,90,0,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Defense Evasion > Swisscom,registered them as new system services
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1020,Automated Exfiltration,80,0,2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Case Summary | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Exfiltration,FileZilla was the primary method
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1049,System Network Connections Discovery,80,1,2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,enumerate network connections
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1078.001,Default Accounts,80,1,3,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Case Summary | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Command and Control | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,dump and decrypt Veeam
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1087.002,Domain Account,80,1,3,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > MITRE ATT&CK,enumerate domain accounts
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1135,Network Share Discovery,80,0,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,enumerate accessible SMB
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1518.001,Security Software Discovery,80,0,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,Get-ADUser
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1553,,80,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1553.002,Code Signing,80,0,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Execution,revoked codesigning
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1590,,80,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1590.002,DNS,80,0,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,query and export DNS zone data
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1595,,80,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1595.002,Vulnerability Scanning,80,0,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,SoftPerfect Network Scanner
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1574,,74,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1003,,70,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1021.002,SMB/Windows Admin Shares,70,0,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access > Remote LSASS Memory Dump,Facilitates SMB service creation.
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1039,Data from Network Shared Drive,70,1,3,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Collection | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Exfiltration,files/folders
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1210,Exploitation of Remote Services,60,0,2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access > Remote LSASS Memory Dump | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Detections > Network,remote execution methods
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1218,,60,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1574.005,Executable Installer File Permissions Weakness,60,0,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Exfiltration,explorer.exe as the responsible process
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1087,,50,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1557,,50,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1557.001,Name Resolution Poisoning and SMB Relay,50,1,3,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Diamond Model Indicators > Atomic | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Initial Access,Reverse SSH Tunnel
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1003.002,Security Account Manager,20,1,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access,extracted the credentials stored in the Veeam PostgreSQL database present in the backup server
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1033,System Owner/User Discovery,20,1,2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > MITRE ATT&CK,account usernames
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1036,,20,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1036.010,Masquerade Account Name,20,1,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Execution,masquerading tactics
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1078.002,Domain Accounts,20,1,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Privilege Escalation,domain admin
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1087.001,Local Account,20,1,2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > MITRE ATT&CK,local system accounts
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1098,Account Manipulation,20,1,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Persistence,manipulate accounts
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1098.001,Additional Cloud Credentials,20,1,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Collection,Users\Administrator\.aws\ (AWS credentials)
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1134,,20,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1134.004,Parent PID Spoofing,20,1,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Detections > Sigma,cd219ff3-fa99-45d4-8380-a7d15116c6dc : New User Created Via Net.EXE
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1187,Forced Authentication,20,1,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,Invoke-ShareFinder
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1216,,20,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1216.001,PubPrn,20,1,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,run the same SPN enumeration script
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1218.008,Odbcconf,20,1,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Detections > Sigma,d95de845-b83c-4a9a-8a6a-4fc802ebf6c0 : Suspicious Group And Account Reconnaissance Activity
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1482,Domain Trust Discovery,20,1,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,enumerate domain computers
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1546,,20,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1546.013,PowerShell Profile,20,1,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Persistence > Swisscom,PowerShell script
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1548,,20,0,0,,
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1548.002,Bypass User Account Control,20,1,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Execution,User Account Control
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1574.007,Path Interception by PATH Environment Variable,20,1,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Execution,AppData folder
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1596,Search Open Technical Databases,20,1,2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Analysts | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Detections > Sigma,Bing Search
dfir-2026-06-29-from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira,T1682,Query Public AI Services,20,1,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > The DFIR Report Offerings,Bing Search
