report,technique_id,technique_name,score,flagged,instances,sections,best_evidence
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1550.002,Pass the Hash,100,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Lateral Movement,Pass-the-Hash
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1554,Compromise Host Software Binary,100,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Detections > Yara,Mimikatz_Memory_Rule_1
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1570,Lateral Tool Transfer,100,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Lateral Movement,file transfer has been initiated
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1574,,100,0,0,,
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1574.001,DLL,100,1,4,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Diamond Model Indicators > File | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Execution | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Persistence,spider.dll
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1595,,100,0,0,,
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1595.001,Scanning IP Blocks,100,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Discovery,initiated a scan
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1673,Virtual Machine Discovery,100,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Impact,Get-VM
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1003.001,LSASS Memory,95,1,8,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Case Summary | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Credential Access | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Impact | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Privilege Escalation,LSASS dumping
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1136,Create Account,95,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Persistence,user creation
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1587,,95,0,0,,
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1587.003,Digital Certificates,95,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Command and Control,self-signed certificate
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1003.006,DCSync,90,0,2,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Case Summary | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Credential Access,NTLM hashes
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1011,Exfiltration Over Other Network Medium,90,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Command and Control,exfiltrate data
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1055,,90,0,0,,
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1078,Valid Accounts,90,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Credential Access,logged-on domain user account
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1134,,90,0,0,,
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1134.001,Token Impersonation/Theft,90,0,2,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Case Summary | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Privilege Escalation,Token Duplication
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1187,Forced Authentication,90,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Credential Access,secretsdump.exe on the compromised
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1219,,90,0,0,,
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1219.002,Remote Desktop Software,90,0,2,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Command and Control,AnyDesk
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1548,Abuse Elevation Control Mechanism,90,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Privilege Escalation,Named Pipe
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1003,OS Credential Dumping,80,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Credential Access,view the Mimikatz output file
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1003.003,NTDS,80,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Credential Access,NTDS.dit via vssadmin
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1003.004,LSA Secrets,80,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Credential Access,LSA Secrets
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1027.007,Dynamic API Resolution,80,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Initial Access,dynamically at runtime
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1041,Exfiltration Over C2 Channel,80,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Case Summary,establish a C2 channel to
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1049,System Network Connections Discovery,80,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Discovery,list members
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1055.002,Portable Executable Injection,80,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Initial Access,only imported two
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1095,Non-Application Layer Protocol,80,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Command and Control,raw TCP sockets
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1133,External Remote Services,80,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Detections > Network,Common Construct Bind_API
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1210,Exploitation of Remote Services,80,1,5,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Case Summary | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Detections > Network | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Discovery | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Initial Access,exploit Zerologon
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1543,,80,0,0,,
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1543.003,Windows Service,80,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Persistence,install AnyDesk on the system as a service
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1654,Log Enumeration,80,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Discovery,findstr /C:”MS-RPRN” /C:”MS-PAR”
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1685,Disable or Modify Tools,80,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Defense Evasion,Defender Control
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1686,Disable or Modify System Firewall,80,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Defense Evasion,netsh advfirewall
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1027,,70,0,0,,
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1021,,60,0,0,,
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1027.004,Compile After Delivery,60,1,2,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Initial Access,contained only the main
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1033,System Owner/User Discovery,60,0,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Discovery,whoami command
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1036,,60,0,0,,
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1070,,60,0,0,,
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1070.004,File Deletion,60,1,2,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Impact | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Key Takeaways,event logs were deleted
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1547,,60,0,0,,
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1021.002,SMB/Windows Admin Shares,20,1,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Discovery,SMB access (read/write)
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1036.007,Double File Extension,20,1,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Credential Access,sessionresume_
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1040,Network Sniffing,20,1,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Discovery,netscan file ‘delete[.]me’
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1069,,20,0,0,,
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1069.001,Local Groups,20,1,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Persistence,local group name
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1090,,20,0,0,,
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1090.002,External Proxy,20,1,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Command and Control,Connecting directly
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1204,,20,0,0,,
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1204.002,Malicious File,20,1,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Detections > Sigma,CVE-2023-22518 Exploitation Attempt - Suspicious
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1218,,20,0,0,,
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1218.010,Regsvr32,20,1,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Persistence,dll being executed using rundll32
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1499,,20,0,0,,
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1499.002,Service Exhaustion Flood,20,1,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Analysts,ELPACO-team Ransomware
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1546,Event Triggered Execution,20,1,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Execution,pipe creation event
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1546.009,AppCert DLLs,20,1,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Execution,u1.bat
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1547.004,Winlogon Helper DLL,20,1,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Privilege Escalation,tool named zero.exe
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1547.008,LSASS Driver,20,1,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Credential Access,different user account
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1548.003,Sudo and Sudo Caching,20,1,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Persistence,set the unattended
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1564,,20,0,0,,
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1564.009,Resource Forking,20,1,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Impact,executed itself
dfir-2025-05-19-another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware,T1657,Financial Theft,20,1,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware,ELPACO-team Ransomware
