report,technique_id,technique_name,score,flagged,instances,sections,best_evidence
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1560.001,Archive via Utility,100,0,1,Cat’s Got Your Files: Lynx Ransomware > MITRE ATT&CK,Archive via Utility
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1563,,100,0,0,,
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1563.002,RDP Hijacking,100,1,8,Cat’s Got Your Files: Lynx Ransomware > Case Summary | Cat’s Got Your Files: Lynx Ransomware > Diamond Model Indicators | Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan | Cat’s Got Your Files: Lynx Ransomware > Execution,RDP Initial Access
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1518,,95,0,0,,
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1518.002,Backup Software Discovery,95,0,1,Cat’s Got Your Files: Lynx Ransomware > Impact,browsed the currently deployed backup jobs
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1039,Data from Network Shared Drive,90,1,3,Cat’s Got Your Files: Lynx Ransomware > Case Summary | Cat’s Got Your Files: Lynx Ransomware > Collection | Cat’s Got Your Files: Lynx Ransomware > Key Takeaways,network shares
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1059.003,Windows Command Shell,90,0,1,Cat’s Got Your Files: Lynx Ransomware > Execution,Windows Command Shell (`cmd.exe`)
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1078.002,Domain Accounts,90,1,4,Cat’s Got Your Files: Lynx Ransomware > Case Summary | Cat’s Got Your Files: Lynx Ransomware > Privilege Escalation,authenticated using a different account
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1560,Archive Collected Data,90,0,1,Cat’s Got Your Files: Lynx Ransomware > Exfiltration,archived files
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1588.002,Tool,90,0,2,Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,purchased this license
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1021,Remote Services,80,0,2,Cat’s Got Your Files: Lynx Ransomware > Credential Access | Cat’s Got Your Files: Lynx Ransomware > Lateral Movement,Remote Desktop Protocol
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1048,Exfiltration Over Alternative Protocol,80,0,1,Cat’s Got Your Files: Lynx Ransomware > Exfiltration,upload feature
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1070.004,File Deletion,80,0,2,Cat’s Got Your Files: Lynx Ransomware > Case Summary | Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,delete existing backup jobs
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1584,Compromise Infrastructure,80,1,2,Cat’s Got Your Files: Lynx Ransomware > Command and Control,Railnet LLC
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1588,Obtain Capabilities,80,0,1,Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,buy SoftPerfect
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1484,,60,0,0,,
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1059,,55,0,0,,
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1012,Query Registry,20,1,1,Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,queried the registry
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1040,Network Sniffing,20,1,1,Cat’s Got Your Files: Lynx Ransomware > Detections,Potential Scan
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1059.008,Network Device CLI,20,1,1,Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,network discovery
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1070,Indicator Removal,20,1,1,Cat’s Got Your Files: Lynx Ransomware > Defense Evasion,obscure their activity
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1080,Taint Shared Content,20,1,2,Cat’s Got Your Files: Lynx Ransomware > Detections,Suspicious ADS File
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1082,System Information Discovery,20,1,1,Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,systeminfo
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1110,,20,0,0,,
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1110.004,Credential Stuffing,20,1,1,Cat’s Got Your Files: Lynx Ransomware > Credential Access,breach dumps
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1133,External Remote Services,20,1,1,Cat’s Got Your Files: Lynx Ransomware > MITRE ATT&CK,External Remote Services
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1190,Exploit Public-Facing Application,20,1,1,Cat’s Got Your Files: Lynx Ransomware > Case Summary,the threat actor returned via RDP from a new source IP address
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1218,System Binary Proxy Execution,20,1,1,Cat’s Got Your Files: Lynx Ransomware > Detections,Suspicious ADS File
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1218.003,CMSTP,20,1,1,Cat’s Got Your Files: Lynx Ransomware > Detections,Command Executed Via Run
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1219,,20,0,0,,
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1219.002,Remote Desktop Software,20,1,1,Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,Netscan was used
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1484.002,Trust Modification,20,1,1,Cat’s Got Your Files: Lynx Ransomware > Key Takeaways,added them to privileged
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1490,Inhibit System Recovery,20,1,1,Cat’s Got Your Files: Lynx Ransomware > Impact,removed backups
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1557,,20,0,0,,
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1557.001,Name Resolution Poisoning and SMB Relay,20,1,2,Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,making connections over SMB
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1564,Hide Artifacts,20,1,1,Cat’s Got Your Files: Lynx Ransomware > Defense Evasion,obscure their activity
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1590,,20,0,0,,
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1590.005,IP Addresses,20,1,1,Cat’s Got Your Files: Lynx Ransomware > Case Summary,associated with Railnet LLC
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1595,,20,0,0,,
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1595.002,Vulnerability Scanning,20,1,1,Cat’s Got Your Files: Lynx Ransomware > Detections,Netscan
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1608,,20,0,0,,
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1608.001,Upload Malware,20,1,1,Cat’s Got Your Files: Lynx Ransomware > Command and Control,bulletproof hosting services
dfir-2025-12-17-cats-got-your-files-lynx-ransomware,T1654,Log Enumeration,20,1,1,Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,queried the registry on the beachhead host
