technique_id,technique_name,class,n_reports,sections,instances,evidence,verdict (correct/incorrect/unsure),notes
T1518.002,Backup Software Discovery,report-specific (5/10),5,Cat’s Got Your Files: Lynx Ransomware > Impact,1,browsed the currently deployed backup jobs,,
T1057,Process Discovery,judge-flagged,6,Cat’s Got Your Files: Lynx Ransomware > Discovery | Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,3,Systeminfo,,
T1078.001,Default Accounts,judge-flagged,5,Cat’s Got Your Files: Lynx Ransomware > Lateral Movement | Cat’s Got Your Files: Lynx Ransomware > Persistence,2,Domain Admin credentials,,
T1027,Obfuscated Files or Information,promoted-parent,7,,0,(parent promoted from mapped sub-techniques),,
T1563,Remote Service Session Hijacking,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1218.014,MMC,report-specific (1/10),1,Cat’s Got Your Files: Lynx Ransomware > Case Summary | Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,3,dsa.msc,,
T1071.001,Web Protocols,report-specific (2/10),2,Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,1,netscan.exe,,
T1040,Network Sniffing,detection-sourced,4,Cat’s Got Your Files: Lynx Ransomware > Detections,1,Potential Scan,,
T1078.002,Domain Accounts,judge-flagged,3,Cat’s Got Your Files: Lynx Ransomware > Case Summary | Cat’s Got Your Files: Lynx Ransomware > Privilege Escalation,4,authenticated using a different account,,
T1557,Adversary-in-the-Middle,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1105,Ingress Tool Transfer,judge-flagged,6,Cat’s Got Your Files: Lynx Ransomware | Cat’s Got Your Files: Lynx Ransomware > Case Summary | Cat’s Got Your Files: Lynx Ransomware > Computed | Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,5,downloaded NetExec,,
T1071,Application Layer Protocol,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1595.002,Vulnerability Scanning,detection-sourced,3,Cat’s Got Your Files: Lynx Ransomware > Detections,1,Netscan,,
T1590,Gather Victim Network Information,promoted-parent,5,,0,(parent promoted from mapped sub-techniques),,
T1218.003,CMSTP,detection-sourced,2,Cat’s Got Your Files: Lynx Ransomware > Detections,1,Command Executed Via Run,,
T1059.003,Windows Command Shell,corpus-common (6/10),6,Cat’s Got Your Files: Lynx Ransomware > Execution,1,Windows Command Shell (`cmd.exe`),,
T1484.002,Trust Modification,judge-flagged,1,Cat’s Got Your Files: Lynx Ransomware > Key Takeaways,1,added them to privileged,,
T1027.015,Compression,report-specific (4/10),4,Cat’s Got Your Files: Lynx Ransomware > Case Summary | Cat’s Got Your Files: Lynx Ransomware > Collection,2,compressed the contents,,
T1595,Active Scanning,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1021.002,SMB/Windows Admin Shares,report-specific (4/10),4,Cat’s Got Your Files: Lynx Ransomware > Detections | Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,3,External Remote SMB Logon,,
T1070.004,File Deletion,corpus-common (6/10),6,Cat’s Got Your Files: Lynx Ransomware > Case Summary | Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,2,delete existing backup jobs,,
T1560.001,Archive via Utility,report-specific (3/10),3,Cat’s Got Your Files: Lynx Ransomware > MITRE ATT&CK,1,Archive via Utility,,
T1584,Compromise Infrastructure,judge-flagged,5,Cat’s Got Your Files: Lynx Ransomware > Command and Control,2,Railnet LLC,,
T1557.001,Name Resolution Poisoning and SMB Relay,judge-flagged,6,Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,2,making connections over SMB,,
T1133,External Remote Services,judge-flagged,3,Cat’s Got Your Files: Lynx Ransomware > MITRE ATT&CK,1,External Remote Services,,
T1560,Archive Collected Data,report-specific (3/10),3,Cat’s Got Your Files: Lynx Ransomware > Exfiltration,1,archived files,,
T1070,Indicator Removal,judge-flagged,6,Cat’s Got Your Files: Lynx Ransomware > Defense Evasion,1,obscure their activity,,
T1049,System Network Connections Discovery,judge-flagged,7,Cat’s Got Your Files: Lynx Ransomware > Case Summary | Cat’s Got Your Files: Lynx Ransomware > Discovery > Netscan,6,discovery commands,,
T1110.004,Credential Stuffing,judge-flagged,1,Cat’s Got Your Files: Lynx Ransomware > Credential Access,1,breach dumps,,
T1608.001,Upload Malware,judge-flagged,7,Cat’s Got Your Files: Lynx Ransomware > Command and Control,1,bulletproof hosting services,,
T1059,Command and Scripting Interpreter,promoted-parent,10,,0,(parent promoted from mapped sub-techniques),,
