technique_id,technique_name,class,n_reports,sections,instances,evidence,verdict (correct/incorrect/unsure),notes
T1553.004,Install Root Certificate,detection-sourced,2,Fake Zoom Ends in BlackSuit Ransomware > Detections > Network,1,Observed ZeroSSL,,
T1546.016,Installer Packages,report-specific (2/10),2,Fake Zoom Ends in BlackSuit Ransomware > Execution,1,trojanized installer,,
T1059.003,Windows Command Shell,corpus-common (6/10),6,Fake Zoom Ends in BlackSuit Ransomware > Execution,1,batch script 21.cmd,,
T1027.010,Command Obfuscation,detection-sourced,4,Fake Zoom Ends in BlackSuit Ransomware > Detections > Yara,1,CobaltStrike_Sleep_Decoder_Indicator,,
T1547.008,LSASS Driver,report-specific (3/10),3,Fake Zoom Ends in BlackSuit Ransomware > Credential Access,1,dllhost.exe process initiated,,
T1537,Transfer Data to Cloud Account,report-specific (1/10),1,Fake Zoom Ends in BlackSuit Ransomware > Exfiltration,1,upload the rar archives,,
T1049,System Network Connections Discovery,corpus-common (7/10),7,Fake Zoom Ends in BlackSuit Ransomware > Discovery,1,net view \<IP1>/,,
T1113,Screen Capture,judge-flagged,1,Fake Zoom Ends in BlackSuit Ransomware > Analysts,1,Fake Zoom,,
T1210,Exploitation of Remote Services,corpus-common (7/10),7,Fake Zoom Ends in BlackSuit Ransomware > Detections > Network | Fake Zoom Ends in BlackSuit Ransomware > Key Takeaways,2,remote services,,
T1567.002,Exfiltration to Cloud Storage,report-specific (2/10),2,Fake Zoom Ends in BlackSuit Ransomware > Exfiltration,1,cloud storage service,,
T1027.007,Dynamic API Resolution,judge-flagged,3,Fake Zoom Ends in BlackSuit Ransomware > Command and Control,1,Base64 URL-safe decode,,
T1047,Windows Management Instrumentation,corpus-common (6/10),6,Fake Zoom Ends in BlackSuit Ransomware > Discovery | Fake Zoom Ends in BlackSuit Ransomware > MITRE ATT&CK,2,Windows Management Instrumentation,,
T1218.010,Regsvr32,report-specific (2/10),2,Fake Zoom Ends in BlackSuit Ransomware > Execution,1,regsvr32.exe,,
T1608,Stage Capabilities,promoted-parent,8,,0,(parent promoted from mapped sub-techniques),,
T1104,Multi-Stage Channels,report-specific (3/10),3,Fake Zoom Ends in BlackSuit Ransomware > Command and Control,1,four separate command and control channels,,
T1553,Subvert Trust Controls,promoted-parent,3,,0,(parent promoted from mapped sub-techniques),,
T1055.001,Dynamic-link Library Injection,corpus-common (6/10),6,Fake Zoom Ends in BlackSuit Ransomware > Defense Evasion | Fake Zoom Ends in BlackSuit Ransomware > Execution,2,DLL was also,,
T1584,Compromise Infrastructure,judge-flagged,5,Fake Zoom Ends in BlackSuit Ransomware > Command and Control,1,legitimate infrastructure for their malicious campaigns,,
T1176,Software Extensions,promoted-parent,1,,0,(parent promoted from mapped sub-techniques),,
T1037.005,Startup Items,report-specific (1/10),1,Fake Zoom Ends in BlackSuit Ransomware > Persistence,1,startup entry,,
T1569.002,Service Execution,detection-sourced,2,Fake Zoom Ends in BlackSuit Ransomware > Detections > Sigma,1,services.exe,,
T1587,Develop Capabilities,promoted-parent,5,,0,(parent promoted from mapped sub-techniques),,
T1021,Remote Services,corpus-common (9/10),9,Fake Zoom Ends in BlackSuit Ransomware > Lateral Movement,1,Using the proxy capability inside QDoor,,
