technique_id,technique_name,class,n_reports,sections,instances,evidence,verdict (correct/incorrect/unsure),notes
T1654,Log Enumeration,report-specific (2/10),2,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Discovery,1,findstr /C:”MS-RPRN” /C:”MS-PAR”,,
T1003.006,DCSync,report-specific (2/10),2,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Case Summary | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Credential Access,2,NTLM hashes,,
T1055,Process Injection,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1587.003,Digital Certificates,report-specific (1/10),1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Command and Control,1,self-signed certificate,,
T1587,Develop Capabilities,promoted-parent,5,,0,(parent promoted from mapped sub-techniques),,
T1098,Account Manipulation,promoted-parent,5,,0,(parent promoted from mapped sub-techniques),,
T1105,Ingress Tool Transfer,corpus-common (6/10),6,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Case Summary | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Detections > Network | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Detections > Sigma | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Detections > Yara,7,file transfer has been initiated,,
T1057,Process Discovery,corpus-common (6/10),6,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Discovery | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Execution | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Impact,3,PROCESS_ALL_ACCESS,,
T1547.012,Print Processors,detection-sourced,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Diamond Model Indicators > File,1,spider.dll,,
T1213,Data from Information Repositories,promoted-parent,1,,0,(parent promoted from mapped sub-techniques),,
T1499.002,Service Exhaustion Flood,judge-flagged,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Analysts,1,ELPACO-team Ransomware,,
T1036,Masquerading,promoted-parent,8,,0,(parent promoted from mapped sub-techniques),,
T1202,Indirect Command Execution,detection-sourced,4,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Diamond Model Indicators > File,1,runassystem.exe,,
T1055.002,Portable Executable Injection,report-specific (1/10),1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Initial Access,1,only imported two,,
T1486,Data Encrypted for Impact,judge-flagged,8,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Exfiltration | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Impact,4,file encryption,,
T1021.001,Remote Desktop Protocol,judge-flagged,9,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Case Summary | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Defense Evasion | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Diamond Model Indicators > File | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Discovery,8,Remote Desktop Protocol (RDP),,
T1550,Use Alternate Authentication Material,promoted-parent,1,,0,(parent promoted from mapped sub-techniques),,
T1059.006,Python,report-specific (1/10),1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Credential Access,1,Python script,,
T1204.002,Malicious File,detection-sourced,4,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Detections > Sigma,1,CVE-2023-22518 Exploitation Attempt - Suspicious,,
T1213.001,Confluence,report-specific (1/10),1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Execution,1,Confluence was exploited,,
T1548,Abuse Elevation Control Mechanism,report-specific (5/10),5,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Privilege Escalation,1,Named Pipe,,
T1564.009,Resource Forking,judge-flagged,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Impact,1,executed itself,,
T1595.001,Scanning IP Blocks,report-specific (2/10),2,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Discovery,1,initiated a scan,,
T1027.007,Dynamic API Resolution,report-specific (3/10),3,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Initial Access,1,dynamically at runtime,,
T1041,Exfiltration Over C2 Channel,corpus-common (6/10),6,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Case Summary,1,establish a C2 channel to,,
T1543.003,Windows Service,report-specific (2/10),2,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Persistence,1,install AnyDesk on the system as a service,,
T1090,Proxy,promoted-parent,5,,0,(parent promoted from mapped sub-techniques),,
T1190,Exploit Public-Facing Application,judge-flagged,7,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Case Summary | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Command and Control | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Detections > Network | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Diamond Model Indicators > File,9,a template injection vulnerability,,
T1027.004,Compile After Delivery,judge-flagged,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Initial Access,2,contained only the main,,
T1686,Disable or Modify System Firewall,report-specific (1/10),1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Defense Evasion,1,netsh advfirewall,,
T1027,Obfuscated Files or Information,promoted-parent,7,,0,(parent promoted from mapped sub-techniques),,
T1543,Create or Modify System Process,promoted-parent,2,,0,(parent promoted from mapped sub-techniques),,
T1049,System Network Connections Discovery,corpus-common (7/10),7,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Discovery,1,list members,,
T1069.001,Local Groups,judge-flagged,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Persistence,1,local group name,,
T1055.001,Dynamic-link Library Injection,judge-flagged,6,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Execution | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Initial Access | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Privilege Escalation,5,DLL file was dropped to disk,,
T1548.003,Sudo and Sudo Caching,judge-flagged,1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Persistence,1,set the unattended,,
T1134.001,Token Impersonation/Theft,report-specific (1/10),1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Case Summary | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Privilege Escalation,2,Token Duplication,,
T1550.002,Pass the Hash,report-specific (1/10),1,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Lateral Movement,1,Pass-the-Hash,,
T1187,Forced Authentication,report-specific (2/10),2,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Credential Access,1,secretsdump.exe on the compromised,,
T1033,System Owner/User Discovery,report-specific (5/10),5,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Discovery,1,whoami command,,
T1204,User Execution,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1090.002,External Proxy,judge-flagged,3,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Command and Control,1,Connecting directly,,
T1036.003,Rename Legitimate Utilities,report-specific (2/10),2,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Impact,2,renamed copy,,
T1003.001,LSASS Memory,judge-flagged,7,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Case Summary | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Credential Access | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Impact | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Privilege Escalation,8,LSASS dumping,,
T1112,Modify Registry,report-specific (2/10),2,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > MITRE ATT&CK,1,Modify Registry,,
T1136.001,Local Account,judge-flagged,3,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Case Summary | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Persistence,3,create a new user,,
T1070.004,File Deletion,judge-flagged,6,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Impact | Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Key Takeaways,2,event logs were deleted,,
T1087,Account Discovery,report-specific (4/10),4,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Discovery,2,whoami,,
T1133,External Remote Services,detection-sourced,3,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Detections > Network,1,Common Construct Bind_API,,
T1554,Compromise Host Software Binary,detection-sourced,2,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware > Detections > Yara,1,Mimikatz_Memory_Rule_1,,
