technique_id,technique_name,class,n_reports,sections,instances,evidence,verdict (correct/incorrect/unsure),notes
T1098,Account Manipulation,judge-flagged,5,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Persistence,1,manipulate accounts,,
T1036.010,Masquerade Account Name,judge-flagged,2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Execution,1,masquerading tactics,,
T1003.001,LSASS Memory,corpus-common (7/10),7,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Case Summary | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access > Remote LSASS Memory Dump,3,This behavior is a high-confidence match for the lsassy,,
T1021,Remote Services,promoted-parent,9,,0,(parent promoted from mapped sub-techniques),,
T1021.003,Distributed Component Object Model,report-specific (1/10),1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access > Remote LSASS Memory Dump,1,Executes via DCOM,,
T1055,Process Injection,corpus-common (6/10),6,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Defense Evasion,1,process injection,,
T1568.002,Domain Generation Algorithms,report-specific (2/10),2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Command and Control,1,DGA-generated domains,,
T1049,System Network Connections Discovery,judge-flagged,7,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,2,enumerate network connections,,
T1590.002,DNS,report-specific (2/10),2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,1,query and export DNS zone data,,
T1557,Adversary-in-the-Middle,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1489,Service Stop,report-specific (2/10),2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Impact > Swisscom,1,disable and terminate services,,
T1039,Data from Network Shared Drive,judge-flagged,3,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Collection | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Exfiltration,3,files/folders,,
T1003.003,NTDS,report-specific (2/10),2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Case Summary | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,3,extracting the Active Directory database <mark>(</mark> <mark>`ntds.dit`</mark>,,
T1187,Forced Authentication,judge-flagged,2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,1,Invoke-ShareFinder,,
T1033,System Owner/User Discovery,judge-flagged,5,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > MITRE ATT&CK,2,account usernames,,
T1110.002,Password Cracking,report-specific (2/10),2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access,1,created a volume shadow copy backup containing the <mark>`ntds.dit`</mark>,,
T1041,Exfiltration Over C2 Channel,corpus-common (6/10),6,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Execution,1,outbound connection,,
T1555,Credentials from Password Stores,promoted-parent,3,,0,(parent promoted from mapped sub-techniques),,
T1563,Remote Service Session Hijacking,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1134,Access Token Manipulation,promoted-parent,4,,0,(parent promoted from mapped sub-techniques),,
T1543,Create or Modify System Process,promoted-parent,2,,0,(parent promoted from mapped sub-techniques),,
T1018,Remote System Discovery,report-specific (4/10),4,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Execution,1,Host/User Discovery,,
T1593,Search Open Websites/Domains,report-specific (2/10),2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > MITRE ATT&CK,1,Bing Search,,
T1553,Subvert Trust Controls,promoted-parent,3,,0,(parent promoted from mapped sub-techniques),,
T1218.008,Odbcconf,detection-sourced,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Detections > Sigma,1,d95de845-b83c-4a9a-8a6a-4fc802ebf6c0 : Suspicious Group And Account Reconnaissance Activity,,
T1071.002,File Transfer Protocols,report-specific (3/10),3,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Exfiltration,2,File Transfer Protocols,,
T1555.005,Password Managers,report-specific (1/10),1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Collection,1,Users\Administrator\AppData\Local\1Password\,,
T1021.004,SSH,judge-flagged,3,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Command and Control | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Diamond Model Indicators > Atomic | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Exfiltration | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Key Takeaways,8,ssh root@193.242.184[.]150,,
T1136.002,Domain Account,report-specific (1/10),1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Persistence,1,create domain accounts,,
T1204,User Execution,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1548,Abuse Elevation Control Mechanism,promoted-parent,5,,0,(parent promoted from mapped sub-techniques),,
T1078.002,Domain Accounts,judge-flagged,3,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Privilege Escalation,1,domain admin,,
T1021.002,SMB/Windows Admin Shares,report-specific (4/10),4,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access > Remote LSASS Memory Dump,1,Facilitates SMB service creation.,,
T1087.002,Domain Account,judge-flagged,3,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > MITRE ATT&CK,3,enumerate domain accounts,,
T1027.010,Command Obfuscation,report-specific (4/10),4,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Defense Evasion,1,command-line obfuscation,,
T1518.002,Backup Software Discovery,detection-sourced,5,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Detections > Sigma,1,183e7ea8-ac4b-4c23-9aec-b3dac4e401ac : Net.EXE Execution,,
T1047,Windows Management Instrumentation,corpus-common (6/10),6,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access > Remote LSASS Memory Dump | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Defense Evasion | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Detections > Sigma | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Impact,9,using WMI,,
T1078,Valid Accounts,corpus-common (8/10),8,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Lateral Movement,3,high-privilege <mark>`backup_EA`</mark> account,,
T1486,Data Encrypted for Impact,judge-flagged,8,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Detections > YARA | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Impact,2,initiated the Akira,,
T1210,Exploitation of Remote Services,corpus-common (7/10),7,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access > Remote LSASS Memory Dump | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Detections > Network,2,remote execution methods,,
T1218.007,Msiexec,report-specific (2/10),2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Diamond Model Indicators > Computed | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Execution,2,the malicious MSI,,
T1583,Acquire Infrastructure,promoted-parent,3,,0,(parent promoted from mapped sub-techniques),,
T1608.006,SEO Poisoning,report-specific (2/10),2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Initial Access | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Key Takeaways,3,SEO poisoning,,
T1219,Remote Access Tools,judge-flagged,4,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Collection | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Command and Control,3,Users\Administrator\AppData\Local\mRemoteNG\,,
T1596,Search Open Technical Databases,judge-flagged,2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Analysts | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Detections > Sigma,2,Bing Search,,
T1608,Stage Capabilities,promoted-parent,8,,0,(parent promoted from mapped sub-techniques),,
T1553.002,Code Signing,report-specific (1/10),1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Execution,1,revoked codesigning,,
T1590,Gather Victim Network Information,promoted-parent,5,,0,(parent promoted from mapped sub-techniques),,
T1087,Account Discovery,promoted-parent,4,,0,(parent promoted from mapped sub-techniques),,
T1110,Brute Force,promoted-parent,5,,0,(parent promoted from mapped sub-techniques),,
T1021.001,Remote Desktop Protocol,judge-flagged,9,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Case Summary | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Exfiltration,15,used RDP,,
T1608.001,Upload Malware,judge-flagged,7,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Detections > YARA | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Execution | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Initial Access | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Key Takeaways,5,trojanized installer,,
T1548.002,Bypass User Account Control,judge-flagged,3,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Execution,1,User Account Control,,
T1003.002,Security Account Manager,judge-flagged,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access,1,extracted the credentials stored in the Veeam PostgreSQL database present in the backup server,,
T1059.001,PowerShell,judge-flagged,6,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Collection | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Defense Evasion | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Detections > Sigma,4,PowerShell Base64 Encoded FromBase64String,,
T1574.007,Path Interception by PATH Environment Variable,judge-flagged,2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Execution,1,AppData folder,,
T1546.013,PowerShell Profile,judge-flagged,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Persistence > Swisscom,1,PowerShell script,,
T1135,Network Share Discovery,report-specific (1/10),1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,1,enumerate accessible SMB,,
T1595,Active Scanning,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1136,Create Account,promoted-parent,4,,0,(parent promoted from mapped sub-techniques),,
T1555.003,Credentials from Web Browsers,report-specific (2/10),2,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Collection | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Credential Access,2,Users\Administrator\AppData\Local\Google\Chrome\User Data\,,
T1563.002,RDP Hijacking,corpus-common (6/10),6,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Discovery,1,established an RDP,,
T1020,Automated Exfiltration,report-specific (3/10),3,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Case Summary | From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Exfiltration,2,FileZilla was the primary method,,
T1098.001,Additional Cloud Credentials,judge-flagged,1,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira > Collection,1,Users\Administrator\.aws\ (AWS credentials),,
